Match,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
Match 92,13/0,29/0,39/0,49/0,64/0,72/0,87/0,102/0,117/0,129/0,137/1,140/1,145/1,168/1,182/1,186/2,194/2,208/2,224/2,245/2
Match 93,4/0,5/0,12/0,15/0,20/1,21/1,22/1,24/2,25/3,28/3,30/3,33/3,35/3,37/3,39/4,39/5,42/6,43/6,46/6,50/7
Match 94,5/0,13/0,25/0,36/0,44/0,54/0,63/0,72/0,75/0,82/0,94/0,102/1,106/1,117/1,137/2,141/3,143/4,162/4,168/4,180/4
Match 95,7/0,13/0,17/1,22/1,31/2,34/2,47/2,58/2,68/2,76/2,81/2,85/3,90/4,101/4,106/4,114/5,128/6,136/6,141/7,149/8
Match 96,3/0,15/0,27/0,37/0,39/1,48/1,54/1,57/2,64/2,66/2,71/4,73/5,75/5,84/5,91/5,100/5,107/6,121/6,130/6,149/6
Match 97,12/0,15/0,18/0,29/0,40/0,45/0,60/0,69/0,87/0,91/0,99/0,111/0,131/0,149/0,156/0,160/1,166/1,168/3,182/3,194/5
Match 98,13/0,18/1,21/1,27/1,39/2,43/2,51/2,57/2,67/2,76/2,82/2,90/2,100/2,111/2,120/2,125/3,131/3,142/4,146/5,153/6
Match 99,4/0,7/0,20/0,36/0,44/0,52/0,61/0,67/0,72/1,76/1,76/4,80/5,83/5,95/6,102/7,103/7,105/7,113/7,119/9,125/9
Match 100,11/0,25/0,49/0,68/0,92/0,103/1,115/2,125/2,141/2,150/3,162/3,185/3,201/3,210/4,228/4,242/4,277/4,301/4,319/4,344/4
Match 101,4/1,7/2,17/3,28/3,45/3,55/3,62/3,73/4,80/5,92/5,110/5,113/5,122/5,130/5,136/5,150/5,165/5,179/5,207/5,220/6
Match 102,6/0,14/1,19/1,23/1,40/1,40/2,49/2,52/3,60/3,69/3,73/3,74/5,77/5,87/5,90/7,90/9,91/9,98/9,103/9,115/9
Match 103,8/0,17/0,29/0,38/0,46/0,48/2,50/2,55/2,56/3,58/3,62/4,65/4,71/4,74/5,80/5,82/6,89/6,92/7,98/9,102/9
Match 104,3/1,4/2,11/2,14/3,18/3,24/4,35/4,42/4,47/4,52/4,61/4,63/5,72/5,77/5,116/5,119/5,134/5,153/5,164/7,174/9
Match 105,12/0,29/0,36/0,49/0,58/0,71/1,74/1,83/1,91/1,94/2,99/2,110/2,118/3,120/4,125/5,135/5,151/5,154/6,164/6,186/6
Match 106,5/0,11/0,16/0,23/0,34/0,39/0,47/0,61/0,63/1,76/1,90/1,104/1,117/1,125/1,128/3,133/3,149/4,159/5,191/5,206/6
Match 107,21/0,37/0,48/0,52/2,56/3,61/3,64/3,71/3,83/3,87/4,92/4,97/5,99/5,104/5,115/6,124/6,131/6,139/6,141/7,147/9
Match 108,2/0,9/0,12/1,21/1,28/1,34/1,42/1,47/1,53/1,60/2,68/2,84/2,93/3,101/3,116/3,126/3,134/4,146/4,157/5,170/6
Match 109,0/2,4/2,13/2,18/2,20/2,31/3,35/4,38/4,42/4,50/4,54/4,60/6,61/6,65/6,72/6,77/7,85/7,92/8,101/9,106/10
Match 110,2/0,9/0,20/0,26/0,35/0,43/1,58/1,74/1,84/2,90/2,94/2,99/3,108/4,111/4,129/4,143/4,147/4,160/5,164/5,179/6
Match 111,6/0,21/0,25/0,33/0,39/0,44/0,47/0,49/0,52/0,55/0,76/0,86/0,97/0,102/0,106/1,114/1,127/2,140/3,156/3,159/6
Match 112,17/0,24/0,41/0,44/1,54/1,56/2,59/2,68/2,73/2,85/2,97/2,102/2,113/2,126/2,131/2,139/2,146/2,159/4,168/6,178/6
Match 113,6/0,12/0,13/1,27/1,28/2,37/2,42/3,53/3,57/4,63/4,69/4,74/4,82/4,90/4,92/4,110/4,119/4,126/4,128/6,137/7
